model,term,coef,odds_ratio,robust_se,z,p_value,or_ci_lo,or_ci_hi
internvl8b,Intercept,0.0665791747963098,1.0688455863567397,0.1947479209860844,0.3418736100451988,0.732446010452573,0.7296963791457487,1.565624991605029
internvl8b,socio_attr_intellect,-0.32318729274752833,0.7238382720127843,0.25953216790679323,-1.2452687285515829,0.21303298648620772,0.43523448730878483,1.203815091194126
internvl8b,socio_attr_civility,0.2999106741524271,1.3497382356790864,0.2422972418447002,1.2377799758226473,0.21579765519745342,0.8394638037241888,2.1701868463796856
internvl8b,socio_attr_power,0.39958318528835407,1.4912030127328053,0.25108937884476124,1.5913981990269719,0.11151998938636844,0.9116018089473152,2.439317697001093
internvl8b,socio_attr_wealth,1.1286977404838918,3.091627775780482,0.32169065304661365,3.508643256477648,0.00045039859820082033,1.6457300094375602,5.807855631947759
internvl8b,lang_zh,-0.041756615571489394,0.959103182948145,0.10888682928507161,-0.3834863761361653,0.7013591698737436,0.7747810536436343,1.1872759552072985
internvl8b,lang_ru,0.15469681169439578,1.1673039945283472,0.10414224020161288,1.4854377185944188,0.1374279102440137,0.9517794139254202,1.4316327877087351
internvl8b,lang_ar,0.11220128214855715,1.1187380199763415,0.11912623182111289,0.9418688095250536,0.34625981071597844,0.8857804729953627,1.4129626871410352
internvl8b,lang_hi,0.28406359133201653,1.3285174102584096,0.1267307084294626,2.241474026716455,0.024995386118323575,1.0363152602539543,1.7031096395581393
internvl8b,lang_bn,0.3426772767537269,1.408714063783832,0.12545356607134514,2.731506863334974,0.006304542782968953,1.1016271204276902,1.8014038295752155
internvl8b,lang_el,0.5395904249248427,1.7153041724572307,0.13935607463188954,3.8720265790363007,0.00010793417884867368,1.3053256092370065,2.254049398271601
internvl8b,gender_male,-0.12693283597405902,0.8807928282029325,0.1822969558773936,-0.6962970685008558,0.48624280866647396,0.6161684657402858,1.2590647677525215
